"","phillies_data","measure_type"
"1",11,"strikeouts"
"2",3,"strikeouts"
"3",9,"strikeouts"
"4",6,"strikeouts"
"5",6,"strikeouts"
"6",4,"strikeouts"
"7",6,"strikeouts"
"8",6,"strikeouts"
"9",4,"strikeouts"
"10",11,"strikeouts"
"11",8,"strikeouts"
"12",5,"strikeouts"
"13",3,"strikeouts"
"14",14,"strikeouts"
"15",3,"strikeouts"
"16",8,"strikeouts"
"17",6,"strikeouts"
"18",8,"strikeouts"
"19",10,"strikeouts"
"20",5,"strikeouts"
"21",7,"strikeouts"
"22",7,"strikeouts"
"23",4,"strikeouts"
"24",9,"strikeouts"
"25",7,"strikeouts"
"26",6,"strikeouts"
"27",8,"strikeouts"
"28",7,"strikeouts"
"29",11,"strikeouts"
"30",9,"strikeouts"
"31",11,"strikeouts"
"32",7,"strikeouts"
"33",6,"strikeouts"
"34",7,"strikeouts"
"35",10,"strikeouts"
"36",10,"strikeouts"
"37",2,"strikeouts"
"38",10,"strikeouts"
"39",5,"strikeouts"
"40",9,"strikeouts"
"41",8,"strikeouts"
"42",2,"strikeouts"
"43",10,"strikeouts"
"44",5,"strikeouts"
"45",9,"strikeouts"
"46",4,"strikeouts"
"47",6,"strikeouts"
"48",7,"strikeouts"
"49",7,"strikeouts"
"50",7,"strikeouts"
"51",8,"strikeouts"
"52",8,"strikeouts"
"53",7,"strikeouts"
"54",7,"strikeouts"
"55",14,"strikeouts"
"56",7,"strikeouts"
"57",8,"strikeouts"
"58",5,"strikeouts"
"59",9,"strikeouts"
"60",8,"strikeouts"
"61",7,"strikeouts"
"62",3,"strikeouts"
"63",6,"strikeouts"
"64",3,"strikeouts"
"65",4,"strikeouts"
"66",9,"strikeouts"
"67",5,"strikeouts"
"68",4,"strikeouts"
"69",6,"strikeouts"
"70",6,"strikeouts"
"71",7,"strikeouts"
"72",9,"strikeouts"
"73",4,"strikeouts"
"74",7,"strikeouts"
"75",6,"strikeouts"
"76",5,"strikeouts"
"77",7,"strikeouts"
"78",11,"strikeouts"
"79",9,"strikeouts"
"80",2,"strikeouts"
"81",6,"strikeouts"
"82",6,"strikeouts"
"83",13,"strikeouts"
"84",7,"strikeouts"
"85",3,"strikeouts"
"86",11,"strikeouts"
"87",7,"strikeouts"
"88",4,"strikeouts"
"89",13,"strikeouts"
"90",4,"strikeouts"
"91",6,"strikeouts"
"92",7,"strikeouts"
"93",9,"strikeouts"
"94",4,"strikeouts"
"95",2,"strikeouts"
"96",8,"strikeouts"
"97",4,"strikeouts"
"98",6,"strikeouts"
"99",8,"strikeouts"
"100",4,"strikeouts"
"101",7,"strikeouts"
"102",5,"strikeouts"
"103",3,"strikeouts"
"104",5,"strikeouts"
"105",5,"strikeouts"
"106",6,"strikeouts"
"107",10,"strikeouts"
"108",4,"strikeouts"
"109",11,"strikeouts"
"110",4,"strikeouts"
"111",7,"strikeouts"
"112",7,"strikeouts"
"113",5,"strikeouts"
"114",8,"strikeouts"
"115",7,"strikeouts"
"116",7,"strikeouts"
"117",9,"strikeouts"
"118",5,"strikeouts"
"119",9,"strikeouts"
"120",7,"strikeouts"
"121",11,"strikeouts"
"122",5,"strikeouts"
"123",4,"strikeouts"
"124",2,"strikeouts"
"125",10,"strikeouts"
"126",10,"strikeouts"
"127",11,"strikeouts"
"128",4,"strikeouts"
"129",7,"strikeouts"
"130",13,"strikeouts"
"131",8,"strikeouts"
"132",14,"strikeouts"
"133",7,"strikeouts"
"134",11,"strikeouts"
"135",11,"strikeouts"
"136",6,"strikeouts"
"137",9,"strikeouts"
"138",8,"strikeouts"
"139",5,"strikeouts"
"140",7,"strikeouts"
"141",8,"strikeouts"
"142",8,"strikeouts"
"143",8,"strikeouts"
"144",11,"strikeouts"
"145",9,"strikeouts"
"146",10,"strikeouts"
"147",11,"strikeouts"
"148",10,"strikeouts"
"149",10,"strikeouts"
"150",7,"strikeouts"
"151",5,"strikeouts"
"152",13,"strikeouts"
"153",4,"strikeouts"
"154",7,"strikeouts"
"155",7,"strikeouts"
"156",8,"strikeouts"
"157",12,"strikeouts"
"158",12,"strikeouts"
"159",6,"strikeouts"
"160",6,"strikeouts"
"161",9,"strikeouts"
"162",5,"strikeouts"
"163",3,"runs per game"
"164",2,"runs per game"
"165",3,"runs per game"
"166",2,"runs per game"
"167",3,"runs per game"
"168",1,"runs per game"
"169",3,"runs per game"
"170",2,"runs per game"
"171",3,"runs per game"
"172",5,"runs per game"
"173",4,"runs per game"
"174",3,"runs per game"
"175",5,"runs per game"
"176",1,"runs per game"
"177",2,"runs per game"
"178",4,"runs per game"
"179",2,"runs per game"
"180",6,"runs per game"
"181",1,"runs per game"
"182",5,"runs per game"
"183",3,"runs per game"
"184",3,"runs per game"
"185",1,"runs per game"
"186",3,"runs per game"
"187",2,"runs per game"
"188",1,"runs per game"
"189",1,"runs per game"
"190",7,"runs per game"
"191",2,"runs per game"
"192",2,"runs per game"
"193",5,"runs per game"
"194",5,"runs per game"
"195",2,"runs per game"
"196",6,"runs per game"
"197",8,"runs per game"
"198",5,"runs per game"
"199",3,"runs per game"
"200",8,"runs per game"
"201",2,"runs per game"
"202",3,"runs per game"
"203",6,"runs per game"
"204",1,"runs per game"
"205",8,"runs per game"
"206",2,"runs per game"
"207",3,"runs per game"
"208",5,"runs per game"
"209",5,"runs per game"
"210",4,"runs per game"
"211",3,"runs per game"
"212",5,"runs per game"
"213",5,"runs per game"
"214",4,"runs per game"
"215",3,"runs per game"
"216",0,"runs per game"
"217",7,"runs per game"
"218",4,"runs per game"
"219",2,"runs per game"
"220",8,"runs per game"
"221",4,"runs per game"
"222",6,"runs per game"
"223",3,"runs per game"
"224",5,"runs per game"
"225",4,"runs per game"
"226",9,"runs per game"
"227",6,"runs per game"
"228",3,"runs per game"
"229",4,"runs per game"
"230",6,"runs per game"
"231",3,"runs per game"
"232",4,"runs per game"
"233",4,"runs per game"
"234",3,"runs per game"
"235",4,"runs per game"
"236",1,"runs per game"
"237",6,"runs per game"
"238",4,"runs per game"
"239",5,"runs per game"
"240",1,"runs per game"
"241",5,"runs per game"
"242",5,"runs per game"
"243",3,"runs per game"
"244",5,"runs per game"
"245",3,"runs per game"
"246",1,"runs per game"
"247",6,"runs per game"
"248",5,"runs per game"
"249",4,"runs per game"
"250",4,"runs per game"
"251",3,"runs per game"
"252",8,"runs per game"
"253",6,"runs per game"
"254",2,"runs per game"
"255",5,"runs per game"
"256",1,"runs per game"
"257",3,"runs per game"
"258",4,"runs per game"
"259",3,"runs per game"
"260",4,"runs per game"
"261",6,"runs per game"
"262",4,"runs per game"
"263",1,"runs per game"
"264",6,"runs per game"
"265",7,"runs per game"
"266",1,"runs per game"
"267",2,"runs per game"
"268",5,"runs per game"
"269",3,"runs per game"
"270",2,"runs per game"
"271",4,"runs per game"
"272",3,"runs per game"
"273",1,"runs per game"
"274",3,"runs per game"
"275",3,"runs per game"
"276",6,"runs per game"
"277",1,"runs per game"
"278",3,"runs per game"
"279",6,"runs per game"
"280",6,"runs per game"
"281",3,"runs per game"
"282",6,"runs per game"
"283",6,"runs per game"
"284",3,"runs per game"
"285",4,"runs per game"
"286",3,"runs per game"
"287",5,"runs per game"
"288",5,"runs per game"
"289",2,"runs per game"
"290",5,"runs per game"
"291",3,"runs per game"
"292",5,"runs per game"
"293",2,"runs per game"
"294",2,"runs per game"
"295",0,"runs per game"
"296",6,"runs per game"
"297",5,"runs per game"
"298",7,"runs per game"
"299",6,"runs per game"
"300",5,"runs per game"
"301",2,"runs per game"
"302",2,"runs per game"
"303",8,"runs per game"
"304",4,"runs per game"
"305",0,"runs per game"
"306",6,"runs per game"
"307",2,"runs per game"
"308",1,"runs per game"
"309",5,"runs per game"
"310",4,"runs per game"
"311",7,"runs per game"
"312",3,"runs per game"
"313",4,"runs per game"
"314",4,"runs per game"
"315",2,"runs per game"
"316",3,"runs per game"
"317",2,"runs per game"
"318",5,"runs per game"
"319",5,"runs per game"
"320",5,"runs per game"
"321",3,"runs per game"
"322",5,"runs per game"
"323",6,"runs per game"
"324",4,"runs per game"
"325",0,"homers per game"
"326",0,"homers per game"
"327",0,"homers per game"
"328",1,"homers per game"
"329",0,"homers per game"
"330",1,"homers per game"
"331",0,"homers per game"
"332",0,"homers per game"
"333",3,"homers per game"
"334",3,"homers per game"
"335",1,"homers per game"
"336",0,"homers per game"
"337",0,"homers per game"
"338",0,"homers per game"
"339",1,"homers per game"
"340",0,"homers per game"
"341",0,"homers per game"
"342",0,"homers per game"
"343",2,"homers per game"
"344",0,"homers per game"
"345",0,"homers per game"
"346",0,"homers per game"
"347",0,"homers per game"
"348",1,"homers per game"
"349",0,"homers per game"
"350",1,"homers per game"
"351",0,"homers per game"
"352",1,"homers per game"
"353",2,"homers per game"
"354",1,"homers per game"
"355",2,"homers per game"
"356",0,"homers per game"
"357",0,"homers per game"
"358",1,"homers per game"
"359",2,"homers per game"
"360",3,"homers per game"
"361",2,"homers per game"
"362",2,"homers per game"
"363",1,"homers per game"
"364",2,"homers per game"
"365",0,"homers per game"
"366",4,"homers per game"
"367",0,"homers per game"
"368",2,"homers per game"
"369",2,"homers per game"
"370",0,"homers per game"
"371",1,"homers per game"
"372",3,"homers per game"
"373",2,"homers per game"
"374",2,"homers per game"
"375",3,"homers per game"
"376",0,"homers per game"
"377",2,"homers per game"
"378",0,"homers per game"
"379",0,"homers per game"
"380",2,"homers per game"
"381",0,"homers per game"
"382",1,"homers per game"
"383",0,"homers per game"
"384",1,"homers per game"
"385",0,"homers per game"
"386",0,"homers per game"
"387",2,"homers per game"
"388",1,"homers per game"
"389",4,"homers per game"
"390",2,"homers per game"
"391",1,"homers per game"
"392",1,"homers per game"
"393",1,"homers per game"
"394",2,"homers per game"
"395",0,"homers per game"
"396",1,"homers per game"
"397",1,"homers per game"
"398",1,"homers per game"
"399",1,"homers per game"
"400",1,"homers per game"
"401",0,"homers per game"
"402",3,"homers per game"
"403",2,"homers per game"
"404",0,"homers per game"
"405",3,"homers per game"
"406",0,"homers per game"
"407",0,"homers per game"
"408",1,"homers per game"
"409",1,"homers per game"
"410",0,"homers per game"
"411",0,"homers per game"
"412",1,"homers per game"
"413",0,"homers per game"
"414",1,"homers per game"
"415",2,"homers per game"
"416",3,"homers per game"
"417",0,"homers per game"
"418",0,"homers per game"
"419",0,"homers per game"
"420",1,"homers per game"
"421",0,"homers per game"
"422",0,"homers per game"
"423",2,"homers per game"
"424",0,"homers per game"
"425",0,"homers per game"
"426",0,"homers per game"
"427",2,"homers per game"
"428",3,"homers per game"
"429",1,"homers per game"
"430",0,"homers per game"
"431",0,"homers per game"
"432",1,"homers per game"
"433",1,"homers per game"
"434",0,"homers per game"
"435",1,"homers per game"
"436",1,"homers per game"
"437",3,"homers per game"
"438",1,"homers per game"
"439",1,"homers per game"
"440",0,"homers per game"
"441",0,"homers per game"
"442",1,"homers per game"
"443",1,"homers per game"
"444",0,"homers per game"
"445",0,"homers per game"
"446",0,"homers per game"
"447",1,"homers per game"
"448",2,"homers per game"
"449",1,"homers per game"
"450",0,"homers per game"
"451",0,"homers per game"
"452",0,"homers per game"
"453",1,"homers per game"
"454",0,"homers per game"
"455",1,"homers per game"
"456",1,"homers per game"
"457",2,"homers per game"
"458",0,"homers per game"
"459",0,"homers per game"
"460",2,"homers per game"
"461",0,"homers per game"
"462",0,"homers per game"
"463",1,"homers per game"
"464",0,"homers per game"
"465",1,"homers per game"
"466",1,"homers per game"
"467",2,"homers per game"
"468",2,"homers per game"
"469",1,"homers per game"
"470",1,"homers per game"
"471",1,"homers per game"
"472",1,"homers per game"
"473",0,"homers per game"
"474",2,"homers per game"
"475",0,"homers per game"
"476",0,"homers per game"
"477",2,"homers per game"
"478",1,"homers per game"
"479",2,"homers per game"
"480",1,"homers per game"
"481",1,"homers per game"
"482",0,"homers per game"
"483",1,"homers per game"
"484",2,"homers per game"
"485",1,"homers per game"
"486",0,"homers per game"
